Formatted Date,Temperature (C)
2006-01-01 00:00:00.000 +0100,0.5777778
2006-01-01 01:00:00.000 +0100,1.1611111
2006-01-01 02:00:00.000 +0100,1.6666666
2006-01-01 03:00:00.000 +0100,1.7111111
2006-01-01 04:00:00.000 +0100,1.1833333
2006-01-01 05:00:00.000 +0100,1.2055556
2006-01-01 06:00:00.000 +0100,2.2222223
2006-01-01 07:00:00.000 +0100,2.0722222
2006-01-01 08:00:00.000 +0100,2.2
2006-01-01 09:00:00.000 +0100,2.3271775
2006-01-01 10:00:00.000 +0100,2.788889
2006-01-01 11:00:00.000 +0100,3.7223003
2006-01-01 12:00:00.000 +0100,4.911111
2006-01-01 13:00:00.000 +0100,6.2055554
2006-01-01 14:00:00.000 +0100,6.241513
2006-01-01 15:00:00.000 +0100,6.95
2006-01-01 16:00:00.000 +0100,5.9722223
2006-01-01 17:00:00.000 +0100,5.9055557
2006-01-01 18:00:00.000 +0100,4.9555554
2006-01-01 19:00:00.000 +0100,5.4722223
2006-01-01 20:00:00.000 +0100,5.9722223
2006-01-01 21:00:00.000 +0100,4.9333334
2006-01-01 22:00:00.000 +0100,5.4722223
2006-01-01 23:00:00.000 +0100,5.422222
2006-01-02 00:00:00.000 +0100,4.34121
2006-01-02 01:00:00.000 +0100,4.3657002
2006-01-02 02:00:00.000 +0100,5.422222
2006-01-02 03:00:00.000 +0100,5.9055557
2006-01-02 04:00:00.000 +0100,5.9666667
2006-01-02 05:00:00.000 +0100,5.95
2006-01-02 06:00:00.000 +0100,5.95
2006-01-02 07:00:00.000 +0100,6.733333
2006-01-02 08:00:00.000 +0100,5.927778
2006-01-02 09:00:00.000 +0100,6.9444447
2006-01-02 10:00:00.000 +0100,6.9444447
2006-01-02 11:00:00.000 +0100,7.5055556
2006-01-02 12:00:00.000 +0100,6.9944444
2006-01-02 13:00:00.000 +0100,7.0444446
2006-01-02 14:00:00.000 +0100,7.016667
2006-01-02 15:00:00.000 +0100,7.016667
2006-01-02 16:00:00.000 +0100,6.538889
2006-01-02 17:00:00.000 +0100,5.9333334
2006-01-02 18:00:00.000 +0100,4.866667
2006-01-02 19:00:00.000 +0100,3.9444444
2006-01-02 20:00:00.000 +0100,2.8555555
2006-01-02 21:00:00.000 +0100,2.735767
2006-01-02 22:00:00.000 +0100,2.3111112
2006-01-02 23:00:00.000 +0100,1.6944444
2006-01-03 00:00:00.000 +0100,1.6944444
2006-01-03 01:00:00.000 +0100,1.7333333
